id,trait,experience_band,question,answer_text,empathy_score,structure_score,positivity_score,ownership_score,target_score,target_label
1880,Openness to learning,mid_level_expert,How do you respond when feedback shows you were wrong?,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned mentor, experiment and learned that I should communicate earlier. I kept the discussion respectful.",63,47,49,62,56,fail
1881,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"During a sprint review, I used a simple STAR structure. I focused on documentation, edge cases, quality, review, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",93,77,77,68,87,pass
1882,Attention to detail,industry_veteran,How do you review your work before delivery?,"During a team task, I clarified the task, listened to concerns, took ownership of my part, used review, documentation, quality, checklist, edge cases, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",76,84,67,94,86,pass
1883,Attention to detail,senior_professional,How do you review your work before delivery?,"In my last project, I clarified the result, listened to concerns, took ownership of my part, used review, documentation, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",100,100,94,84,88,pass
1884,Collaboration,senior_professional,How do you support teammates during pressure?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned align, team, listen, shared goal, support and learned that I should communicate earlier. The experience improved my confidence.",55,46,51,66,51,fail
1885,Collaboration,senior_professional,How do you support teammates during pressure?,"In my last project, I clarified the result, listened to concerns, took ownership of my part, used shared goal, team, support, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",75,84,99,94,82,pass
1886,Communication,fresher,Describe a time clear communication helped a project.,"During a team task, I used a simple STAR structure. I focused on simple language, clarify, questions, summarize, audience, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",76,52,55,65,54,fail
1887,Collaboration,fresher,How do you support teammates during pressure?,"During a team task, I clarified the task, listened to concerns, took ownership of my part, used support, feedback, align, team, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",100,97,100,90,91,pass
1888,Communication,senior_professional,How do you explain complex work to non-technical people?,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned audience, simple language, updates and learned that I should communicate earlier. I shared the learning with others.",65,48,70,56,43,fail
1889,Communication,mid_level_expert,Describe a time clear communication helped a project.,"During a team task, I used a simple STAR structure. I focused on simple language, audience, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",74,70,72,34,56,fail
1890,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"While handling a delivery, I used a simple STAR structure. I focused on practice, course, mentor, reflection, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",68,66,100,76,79,pass
1891,Communication,junior_professional,Describe a time clear communication helped a project.,"In a university project, I used a simple STAR structure. I focused on updates, audience, questions, summarize, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",76,75,22,60,47,fail
1892,Collaboration,junior_professional,How do you support teammates during pressure?,"During a sprint review, I clarified the result, listened to concerns, took ownership of my part, used team, shared goal, listen, feedback, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",100,95,98,71,85,pass
1893,Communication,junior_professional,How do you explain complex work to non-technical people?,"During a sprint review, I clarified the task, listened to concerns, took ownership of my part, used audience, summarize, simple language, clarify, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",96,98,92,64,94,pass
1894,Collaboration,junior_professional,How do you support teammates during pressure?,"In my last project, I used a simple STAR structure. I focused on listen, team, shared goal, support, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",82,71,44,85,65,fail
1895,Stress handling,junior_professional,Describe a high-pressure situation and your response.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned focus, calm, breaks and learned that I should communicate earlier. The experience improved my confidence.",58,54,75,52,57,fail
1896,Stress handling,mid_level_expert,How do you stay productive during deadlines?,"In my last project, I clarified the result, listened to concerns, took ownership of my part, used focus, prioritize, plan, breaks, calm, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",100,81,100,86,82,pass
1897,Openness to learning,junior_professional,Describe a time you learned a new tool quickly.,"While handling a delivery, I clarified the situation, listened to concerns, took ownership of my part, used course, reflection, feedback, practice, mentor, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",81,90,100,100,88,pass
1898,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"During a sprint review, I used a simple STAR structure. I focused on checklist, quality, edge cases, accuracy, documentation, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",59,68,55,69,64,fail
1899,Attention to detail,mid_level_expert,How do you review your work before delivery?,"In my last project, I tried to help but my answer was not very structured. I mentioned accuracy, edge cases, quality, review and learned that I should communicate earlier. This helped me become more reliable.",63,27,43,44,54,fail
1900,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"During a sprint review, I used a simple STAR structure. I focused on prioritize, focus, plan, calm, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",47,64,60,75,69,fail
1901,Openness to learning,mid_level_expert,Describe a time you learned a new tool quickly.,"During a team task, I used a simple STAR structure. I focused on experiment, feedback, course, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",57,49,30,59,54,fail
1902,Communication,fresher,How do you explain complex work to non-technical people?,"During a sprint review, I used a simple STAR structure. I focused on questions, summarize, updates, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",50,55,74,74,51,fail
1903,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"In a university project, I used a simple STAR structure. I focused on plan, breaks, calm, escalate, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",56,42,83,47,60,fail
1904,Communication,senior_professional,How do you explain complex work to non-technical people?,"In a university project, I clarified the situation, listened to concerns, took ownership of my part, used audience, updates, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",79,95,68,80,69,fail
1905,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned reflection, practice and learned that I should communicate earlier. I kept the discussion respectful.",28,60,28,50,54,fail
1906,Stress handling,junior_professional,Describe a high-pressure situation and your response.,"While handling a delivery, I used a simple STAR structure. I focused on escalate, breaks, plan, calm, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",79,62,47,76,76,pass
1907,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"During a sprint review, I clarified the action, listened to concerns, took ownership of my part, used accuracy, review, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",71,70,72,87,88,pass
1908,Communication,fresher,Describe a time clear communication helped a project.,"During a sprint review, I used a simple STAR structure. I focused on summarize, updates, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",42,41,91,56,55,fail
1909,Communication,fresher,Describe a time clear communication helped a project.,"In a university project, I tried to help but my answer was not very structured. I mentioned audience, clarify, updates, simple language, summarize and learned that I should communicate earlier. I shared the learning with others.",36,51,59,49,59,fail
1910,Collaboration,mid_level_expert,How do you support teammates during pressure?,"In my last project, I tried to help but my answer was not very structured. I mentioned support, align, team, shared goal, feedback and learned that I should communicate earlier. The experience improved my confidence.",39,40,46,49,46,fail
1911,Communication,junior_professional,How do you explain complex work to non-technical people?,"During a team task, I tried to help but my answer was not very structured. I mentioned simple language, clarify, audience and learned that I should communicate earlier. I kept the discussion respectful.",34,55,46,43,43,fail
1912,Stress handling,junior_professional,How do you stay productive during deadlines?,"During a team task, I used a simple STAR structure. I focused on prioritize, calm, plan, focus, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",65,64,41,100,72,pass
1913,Openness to learning,junior_professional,How do you respond when feedback shows you were wrong?,"In my last project, I clarified the result, listened to concerns, took ownership of my part, used experiment, mentor, feedback, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",94,88,56,86,85,pass
1914,Communication,fresher,How do you explain complex work to non-technical people?,"During a sprint review, I used a simple STAR structure. I focused on summarize, questions, updates, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",76,71,66,80,67,fail
1915,Openness to learning,junior_professional,Describe a time you learned a new tool quickly.,"In a university project, I used a simple STAR structure. I focused on practice, feedback, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",78,59,51,50,49,fail
1916,Stress handling,industry_veteran,Describe a high-pressure situation and your response.,"While handling a delivery, I clarified the result, listened to concerns, took ownership of my part, used calm, escalate, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",91,74,68,92,87,pass
1917,Stress handling,junior_professional,Describe a high-pressure situation and your response.,"While handling a delivery, I tried to help but my answer was not very structured. I mentioned calm, breaks and learned that I should communicate earlier. I shared the learning with others.",66,60,43,55,56,fail
1918,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"In a university project, I used a simple STAR structure. I focused on checklist, review, accuracy, quality, documentation, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",64,63,67,100,73,fail
1919,Communication,mid_level_expert,How do you explain complex work to non-technical people?,"In my last project, I clarified the action, listened to concerns, took ownership of my part, used clarify, simple language, questions, audience, updates, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",99,77,95,94,98,pass
1920,Collaboration,senior_professional,Tell me about a time you worked with a difficult team situation.,"During a team task, I used a simple STAR structure. I focused on listen, align, team, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",72,84,73,90,69,fail
1921,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"During a sprint review, I used a simple STAR structure. I focused on quality, edge cases, checklist, review, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",73,71,55,76,59,fail
1922,Communication,junior_professional,Describe a time clear communication helped a project.,"During a sprint review, I clarified the situation, listened to concerns, took ownership of my part, used questions, audience, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",82,67,100,88,99,pass
1923,Stress handling,junior_professional,Describe a high-pressure situation and your response.,"During a sprint review, I clarified the situation, listened to concerns, took ownership of my part, used calm, focus, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",92,87,73,68,82,pass
1924,Communication,senior_professional,Describe a time clear communication helped a project.,"In my last project, I used a simple STAR structure. I focused on clarify, simple language, audience, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",72,57,52,60,77,pass
1925,Collaboration,senior_professional,Tell me about a time you worked with a difficult team situation.,"During a team task, I tried to help but my answer was not very structured. I mentioned listen, align, support and learned that I should communicate earlier. I kept the discussion respectful.",63,37,37,30,37,fail
1926,Openness to learning,mid_level_expert,How do you respond when feedback shows you were wrong?,"While handling a delivery, I used a simple STAR structure. I focused on practice, course, experiment, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",79,83,48,60,64,fail
1927,Openness to learning,mid_level_expert,How do you respond when feedback shows you were wrong?,"In my last project, I used a simple STAR structure. I focused on reflection, practice, course, mentor, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",70,90,57,82,81,pass
1928,Attention to detail,mid_level_expert,Describe a time attention to detail prevented a problem.,"In a university project, I clarified the task, listened to concerns, took ownership of my part, used documentation, review, checklist, quality, accuracy, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",82,95,86,100,78,fail
1929,Collaboration,senior_professional,How do you support teammates during pressure?,"While handling a delivery, I used a simple STAR structure. I focused on feedback, align, shared goal, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",63,67,30,53,50,fail
1930,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"During a team task, I clarified the action, listened to concerns, took ownership of my part, used quality, checklist, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",94,73,70,92,71,pass
1931,Collaboration,junior_professional,How do you support teammates during pressure?,"During a sprint review, I used a simple STAR structure. I focused on feedback, team, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",44,67,51,53,57,fail
1932,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"In a university project, I used a simple STAR structure. I focused on accuracy, edge cases, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",72,70,76,77,59,fail
1933,Communication,junior_professional,Describe a time clear communication helped a project.,"In a university project, I used a simple STAR structure. I focused on audience, clarify, questions, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",76,64,60,78,54,fail
1934,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"While handling a delivery, I clarified the task, listened to concerns, took ownership of my part, used quality, review, edge cases, checklist, accuracy, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",75,100,100,100,88,pass
1935,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"During a team task, I used a simple STAR structure. I focused on practice, feedback, experiment, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",83,81,74,58,72,pass
1937,Stress handling,senior_professional,How do you stay productive during deadlines?,"During a team task, I used a simple STAR structure. I focused on plan, prioritize, focus, escalate, breaks, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",76,65,32,88,83,pass
1938,Stress handling,senior_professional,How do you stay productive during deadlines?,"While handling a delivery, I used a simple STAR structure. I focused on plan, calm, prioritize, breaks, focus, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",64,59,70,69,75,pass
1939,Openness to learning,mid_level_expert,Describe a time you learned a new tool quickly.,"In a university project, I tried to help but my answer was not very structured. I mentioned practice, course, reflection, experiment, feedback and learned that I should communicate earlier. The experience improved my confidence.",55,45,36,65,56,fail
1940,Attention to detail,mid_level_expert,Describe a time attention to detail prevented a problem.,"While handling a delivery, I clarified the action, listened to concerns, took ownership of my part, used review, quality, documentation, accuracy, edge cases, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",96,71,100,60,86,pass
1941,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"While handling a delivery, I clarified the action, listened to concerns, took ownership of my part, used support, listen, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",56,71,100,92,75,pass
1942,Collaboration,senior_professional,Tell me about a time you worked with a difficult team situation.,"In a university project, I clarified the situation, listened to concerns, took ownership of my part, used align, support, listen, shared goal, feedback, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",80,88,94,100,88,pass
1943,Stress handling,senior_professional,Describe a high-pressure situation and your response.,"During a sprint review, I clarified the result, listened to concerns, took ownership of my part, used calm, focus, plan, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",77,100,92,81,91,pass
1944,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"While handling a delivery, I used a simple STAR structure. I focused on practice, feedback, reflection, experiment, mentor, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",60,66,50,69,54,fail
1945,Stress handling,fresher,Describe a high-pressure situation and your response.,"During a team task, I tried to help but my answer was not very structured. I mentioned focus, breaks, prioritize and learned that I should communicate earlier. This helped me become more reliable.",41,49,76,62,61,fail
1946,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"In my last project, I clarified the result, listened to concerns, took ownership of my part, used practice, experiment, reflection, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",100,100,87,100,100,pass
1947,Collaboration,industry_veteran,How do you support teammates during pressure?,"In a university project, I tried to help but my answer was not very structured. I mentioned team, support and learned that I should communicate earlier. I kept the discussion respectful.",53,62,34,34,52,fail
1948,Communication,mid_level_expert,How do you explain complex work to non-technical people?,"During a sprint review, I clarified the situation, listened to concerns, took ownership of my part, used audience, questions, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",96,100,100,92,93,pass
1949,Stress handling,mid_level_expert,How do you stay productive during deadlines?,"In my last project, I used a simple STAR structure. I focused on focus, calm, prioritize, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",60,55,31,51,56,fail
1950,Stress handling,industry_veteran,How do you stay productive during deadlines?,"In a university project, I used a simple STAR structure. I focused on focus, escalate, prioritize, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",84,52,49,66,50,fail
1951,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"During a team task, I tried to help but my answer was not very structured. I mentioned shared goal, support, align, team and learned that I should communicate earlier. This helped me become more reliable.",49,34,74,44,63,fail
1952,Communication,industry_veteran,How do you explain complex work to non-technical people?,"During a team task, I tried to help but my answer was not very structured. I mentioned audience, simple language, summarize, clarify, updates and learned that I should communicate earlier. I shared the learning with others.",50,28,21,33,36,fail
1953,Communication,industry_veteran,How do you explain complex work to non-technical people?,"In a university project, I used a simple STAR structure. I focused on audience, clarify, simple language, updates, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",62,48,67,60,59,fail
1954,Openness to learning,industry_veteran,Describe a time you learned a new tool quickly.,"While handling a delivery, I clarified the result, listened to concerns, took ownership of my part, used mentor, experiment, course, practice, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",80,87,78,90,87,pass
1955,Collaboration,mid_level_expert,How do you support teammates during pressure?,"In a university project, I used a simple STAR structure. I focused on team, shared goal, support, listen, feedback, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",74,92,69,84,82,pass
1956,Attention to detail,mid_level_expert,How do you review your work before delivery?,"In a university project, I tried to help but my answer was not very structured. I mentioned review, edge cases, documentation, checklist, quality and learned that I should communicate earlier. The experience improved my confidence.",50,51,52,56,45,fail
1957,Attention to detail,mid_level_expert,How do you review your work before delivery?,"During a team task, I clarified the result, listened to concerns, took ownership of my part, used quality, edge cases, checklist, review, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",61,88,92,89,83,pass
1958,Collaboration,mid_level_expert,How do you support teammates during pressure?,"In a university project, I clarified the result, listened to concerns, took ownership of my part, used support, team, shared goal, listen, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",92,91,93,71,77,fail
1959,Openness to learning,mid_level_expert,How do you respond when feedback shows you were wrong?,"While handling a delivery, I used a simple STAR structure. I focused on reflection, practice, feedback, experiment, course, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",54,58,55,34,64,fail
1960,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"While handling a delivery, I clarified the situation, listened to concerns, took ownership of my part, used documentation, edge cases, checklist, accuracy, quality, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",94,100,100,68,87,pass
1961,Openness to learning,junior_professional,How do you respond when feedback shows you were wrong?,"In a university project, I used a simple STAR structure. I focused on mentor, experiment, reflection, practice, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",53,54,56,77,64,fail
1962,Stress handling,mid_level_expert,How do you stay productive during deadlines?,"In a university project, I used a simple STAR structure. I focused on calm, breaks, focus, escalate, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",69,58,37,30,37,fail
1963,Stress handling,senior_professional,How do you stay productive during deadlines?,"While handling a delivery, I clarified the result, listened to concerns, took ownership of my part, used calm, plan, breaks, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",86,82,78,77,98,pass
1964,Collaboration,junior_professional,Tell me about a time you worked with a difficult team situation.,"While handling a delivery, I used a simple STAR structure. I focused on shared goal, align, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",53,75,64,63,71,pass
1965,Openness to learning,mid_level_expert,How do you respond when feedback shows you were wrong?,"During a sprint review, I clarified the task, listened to concerns, took ownership of my part, used course, mentor, practice, experiment, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",100,95,100,100,98,pass
1966,Attention to detail,mid_level_expert,How do you review your work before delivery?,"While handling a delivery, I clarified the result, listened to concerns, took ownership of my part, used checklist, documentation, edge cases, review, quality, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",100,90,94,90,100,pass
1967,Attention to detail,senior_professional,How do you review your work before delivery?,"During a sprint review, I used a simple STAR structure. I focused on documentation, edge cases, quality, review, checklist, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",60,45,51,19,42,fail
1968,Stress handling,mid_level_expert,How do you stay productive during deadlines?,"In my last project, I tried to help but my answer was not very structured. I mentioned focus, plan, calm, escalate, prioritize and learned that I should communicate earlier. I kept the discussion respectful.",45,43,73,52,57,fail
1969,Communication,senior_professional,How do you explain complex work to non-technical people?,"In my last project, I used a simple STAR structure. I focused on clarify, questions, updates, simple language, summarize, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",52,69,67,63,58,fail
1970,Collaboration,senior_professional,How do you support teammates during pressure?,"While handling a delivery, I clarified the task, listened to concerns, took ownership of my part, used align, shared goal, listen, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",56,64,92,78,70,pass
1971,Collaboration,industry_veteran,Tell me about a time you worked with a difficult team situation.,"During a team task, I used a simple STAR structure. I focused on listen, align, shared goal, support, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",68,82,69,75,70,fail
1972,Communication,industry_veteran,Describe a time clear communication helped a project.,"In a university project, I clarified the task, listened to concerns, took ownership of my part, used audience, clarify, updates, simple language, questions, and measured the result. I also reflected on what I would improve next time. I kept the discussion respectful.",90,100,100,100,100,pass
1973,Communication,junior_professional,How do you explain complex work to non-technical people?,"In my last project, I used a simple STAR structure. I focused on audience, simple language, updates, questions, clarify, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",65,80,74,33,52,fail
1974,Attention to detail,fresher,Describe a time attention to detail prevented a problem.,"In my last project, I tried to help but my answer was not very structured. I mentioned accuracy, checklist, edge cases, quality and learned that I should communicate earlier. This helped me become more reliable.",55,29,38,41,35,fail
1975,Communication,fresher,How do you explain complex work to non-technical people?,"In my last project, I used a simple STAR structure. I focused on questions, summarize, audience, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",59,60,75,60,56,fail
1976,Openness to learning,senior_professional,Describe a time you learned a new tool quickly.,"While handling a delivery, I clarified the task, listened to concerns, took ownership of my part, used mentor, course, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",61,91,70,65,75,pass
1977,Stress handling,junior_professional,Describe a high-pressure situation and your response.,"In my last project, I used a simple STAR structure. I focused on focus, breaks, explained my role, and followed up with the team to improve the outcome. The experience improved my confidence.",59,62,72,64,81,pass
1978,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"During a sprint review, I clarified the action, listened to concerns, took ownership of my part, used breaks, plan, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",80,88,53,69,64,fail
1979,Openness to learning,fresher,How do you respond when feedback shows you were wrong?,"During a team task, I used a simple STAR structure. I focused on experiment, mentor, practice, reflection, course, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",45,62,72,62,54,fail
1980,Attention to detail,fresher,How do you review your work before delivery?,"While handling a delivery, I used a simple STAR structure. I focused on quality, review, checklist, edge cases, accuracy, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",57,79,95,67,77,pass
1981,Communication,industry_veteran,How do you explain complex work to non-technical people?,"In a university project, I used a simple STAR structure. I focused on questions, audience, updates, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",71,76,50,60,71,pass
1982,Attention to detail,mid_level_expert,Describe a time attention to detail prevented a problem.,"In a university project, I used a simple STAR structure. I focused on review, edge cases, accuracy, quality, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",79,53,35,57,65,pass
1983,Stress handling,mid_level_expert,How do you stay productive during deadlines?,"In my last project, I clarified the action, listened to concerns, took ownership of my part, used calm, prioritize, focus, plan, escalate, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",62,68,85,81,78,pass
1984,Collaboration,fresher,Tell me about a time you worked with a difficult team situation.,"While handling a delivery, I used a simple STAR structure. I focused on support, align, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",48,60,81,49,67,fail
1985,Communication,mid_level_expert,Describe a time clear communication helped a project.,"During a team task, I clarified the result, listened to concerns, took ownership of my part, used clarify, audience, updates, simple language, questions, and measured the result. I also reflected on what I would improve next time. This helped me become more reliable.",74,98,82,73,77,fail
1986,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"In my last project, I used a simple STAR structure. I focused on accuracy, documentation, quality, checklist, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",72,65,81,84,68,fail
1987,Openness to learning,fresher,How do you respond when feedback shows you were wrong?,"During a team task, I clarified the action, listened to concerns, took ownership of my part, used practice, reflection, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",67,67,70,97,76,pass
1988,Stress handling,industry_veteran,Describe a high-pressure situation and your response.,"During a team task, I tried to help but my answer was not very structured. I mentioned calm, focus and learned that I should communicate earlier. The experience improved my confidence.",29,36,56,61,51,fail
1989,Openness to learning,junior_professional,Describe a time you learned a new tool quickly.,"In a university project, I tried to help but my answer was not very structured. I mentioned course, reflection, experiment, feedback, mentor and learned that I should communicate earlier. This helped me become more reliable.",15,53,62,52,50,fail
1990,Openness to learning,senior_professional,How do you respond when feedback shows you were wrong?,"During a sprint review, I used a simple STAR structure. I focused on experiment, course, mentor, reflection, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",69,49,52,60,68,fail
1991,Stress handling,mid_level_expert,Describe a high-pressure situation and your response.,"In my last project, I tried to help but my answer was not very structured. I mentioned focus, plan, calm, escalate, breaks and learned that I should communicate earlier. This helped me become more reliable.",40,55,54,71,56,fail
1992,Openness to learning,industry_veteran,How do you respond when feedback shows you were wrong?,"During a team task, I tried to help but my answer was not very structured. I mentioned experiment, mentor, reflection, practice and learned that I should communicate earlier. This helped me become more reliable.",3,33,56,35,29,fail
1993,Communication,industry_veteran,Describe a time clear communication helped a project.,"In a university project, I used a simple STAR structure. I focused on audience, updates, clarify, simple language, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",50,52,92,59,60,fail
1994,Communication,junior_professional,Describe a time clear communication helped a project.,"During a team task, I used a simple STAR structure. I focused on questions, clarify, audience, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",65,64,89,54,74,pass
1995,Stress handling,junior_professional,How do you stay productive during deadlines?,"While handling a delivery, I used a simple STAR structure. I focused on calm, escalate, plan, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",71,84,92,71,74,pass
1996,Collaboration,mid_level_expert,Tell me about a time you worked with a difficult team situation.,"During a team task, I tried to help but my answer was not very structured. I mentioned shared goal, feedback, support, align and learned that I should communicate earlier. I shared the learning with others.",41,39,17,60,43,fail
1997,Communication,mid_level_expert,How do you explain complex work to non-technical people?,"During a team task, I used a simple STAR structure. I focused on clarify, questions, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",51,41,34,76,47,fail
1998,Openness to learning,fresher,Describe a time you learned a new tool quickly.,"In a university project, I clarified the situation, listened to concerns, took ownership of my part, used feedback, experiment, practice, course, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",80,91,78,93,82,pass
1999,Attention to detail,industry_veteran,Describe a time attention to detail prevented a problem.,"In my last project, I used a simple STAR structure. I focused on review, quality, edge cases, documentation, accuracy, explained my role, and followed up with the team to improve the outcome. I kept the discussion respectful.",65,47,54,74,58,fail
2000,Collaboration,industry_veteran,Tell me about a time you worked with a difficult team situation.,"While handling a delivery, I clarified the situation, listened to concerns, took ownership of my part, used feedback, team, align, shared goal, listen, and measured the result. I also reflected on what I would improve next time. The experience improved my confidence.",95,100,88,99,100,pass
2001,Stress handling,industry_veteran,Describe a high-pressure situation and your response.,"While handling a delivery, I clarified the result, listened to concerns, took ownership of my part, used prioritize, escalate, calm, and measured the result. I also reflected on what I would improve next time. I shared the learning with others.",75,84,100,75,77,pass
2002,Communication,industry_veteran,How do you explain complex work to non-technical people?,"During a sprint review, I tried to help but my answer was not very structured. I mentioned audience, updates, questions, clarify and learned that I should communicate earlier. The experience improved my confidence.",32,44,33,69,51,fail
2003,Attention to detail,senior_professional,Describe a time attention to detail prevented a problem.,"During a team task, I used a simple STAR structure. I focused on edge cases, quality, accuracy, documentation, explained my role, and followed up with the team to improve the outcome. This helped me become more reliable.",72,56,44,42,49,fail
2005,Communication,junior_professional,How do you explain complex work to non-technical people?,"In a university project, I used a simple STAR structure. I focused on simple language, audience, clarify, questions, summarize, explained my role, and followed up with the team to improve the outcome. I shared the learning with others.",55,73,75,53,69,fail
