id,skill_area,experience_band,question,answer_text,word_count,keyword_hits,clarity_score,relevance_score,correctness_score,target_score,target_label
948,Software Engineering,industry_veteran,"How would you handle a Software Engineering problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include debugging, maintainability, architecture. I would communicate the risk clearly.",25,3,57,72,63,58,fail
949,React,mid_level_expert,"How would you handle a React problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include hooks, props, rendering, memoization. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would keep the implementation simple where possible.",48,4,69,62,66,61,fail
950,OOP,fresher,"How would you handle a OOP problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include interface, inheritance, encapsulation. I would validate this with tests.",33,3,57,62,45,38,fail
951,Networking,senior_professional,"How would you handle a Networking problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include tls, routing, packet loss. I would validate this with tests.",34,3,32,27,31,37,fail
952,DBMS,fresher,"How would you handle a DBMS problem during a production incident? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include normalization, query plan, locking, backup. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. ",38,4,64,82,76,47,fail
953,Machine Learning,senior_professional,"How would you handle a Machine Learning problem in a mobile app backend? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. I would validate this with tests.",21,1,33,36,12,31,fail
954,Software Engineering,junior_professional,"How would you handle a Software Engineering problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include requirements, testing, debugging. I would validate this with tests.",23,3,49,61,42,30,fail
955,Artificial Intelligence,industry_veteran,"How would you handle a Artificial Intelligence problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include reasoning, hallucination, latency, evaluation. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would keep the implementation simple where possible.",49,4,70,73,69,60,fail
956,Networking,fresher,"How would you handle a Networking problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include tcp, throughput, packet loss. ",20,3,54,62,58,51,fail
957,Operating Systems,fresher,"How would you handle a Operating Systems problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include mutex, paging, memory management, process. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would communicate the risk clearly.",47,4,72,96,64,72,pass
958,OOP,senior_professional,"How would you handle a OOP problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include abstraction, interface, inheritance, design pattern. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. ",35,4,88,80,71,70,fail
959,Django,junior_professional,"How would you handle a Django problem during a production incident? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. I would keep the implementation simple where possible.,22,2,56,25,30,30,fail
960,MERN Stack,junior_professional,"How would you handle a MERN Stack problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include api integration, node, routing. I would keep the implementation simple where possible.",29,3,69,59,41,48,fail
961,Networking,industry_veteran,"How would you handle a Networking problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include firewall, tcp, dns, latency, tls. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. ",59,5,81,79,100,74,pass
962,OOP,industry_veteran,"How would you handle a OOP problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include abstraction, polymorphism, solid, design pattern. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would communicate the risk clearly.",42,4,88,80,84,76,pass
963,Django,junior_professional,"How would you handle a Django problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include queryset, middleware, rest api. I would communicate the risk clearly.",34,3,60,43,54,53,fail
964,Networking,industry_veteran,"How would you handle a Networking problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include packet loss, dns, tcp. I would validate this with tests.",29,3,71,41,50,52,fail
965,Machine Learning,senior_professional,"How would you handle a Machine Learning problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include bias, validation, drift, metrics. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would validate this with tests.",43,4,54,79,61,63,fail
966,DevOps,industry_veteran,"How would you handle a DevOps problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include alerts, monitoring, kubernetes, blue green deployment. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would validate this with tests.",46,4,75,71,81,72,pass
967,MERN Stack,fresher,"How would you handle a MERN Stack problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include routing, react, express, api integration. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. ",34,4,62,57,71,71,fail
968,React,industry_veteran,"How would you handle a React problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include rendering, accessibility, state, context. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. ",38,4,68,79,47,66,fail
969,DevOps,fresher,"How would you handle a DevOps problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include blue green deployment, terraform, alerts. ",21,3,39,33,42,45,fail
970,Operating Systems,junior_professional,"How would you handle a Operating Systems problem for a university career platform? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include mutex, process, paging. I would keep the implementation simple where possible.",30,3,61,53,28,42,fail
971,DBMS,junior_professional,"How would you handle a DBMS problem for a university career platform? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include joins, locking, indexing, transactions, backup. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. ",61,5,100,98,70,74,pass
972,MERN Stack,junior_professional,"How would you handle a MERN Stack problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include mongo, api integration, node. I would communicate the risk clearly.",26,3,52,59,22,40,fail
973,Software Engineering,fresher,"How would you handle a Software Engineering problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include debugging, architecture, testing, code review. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",55,4,68,77,76,71,pass
974,MERN Stack,fresher,"How would you handle a MERN Stack problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include mongo, state management, routing, express. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",50,4,71,56,75,69,fail
975,Django,mid_level_expert,"How would you handle a Django problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include celery, middleware, authentication. I would validate this with tests.",31,3,76,68,65,66,fail
976,DevOps,mid_level_expert,"How would you handle a DevOps problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include monitoring, ci/cd, kubernetes. I would validate this with tests.",33,3,42,47,72,44,fail
977,Django,junior_professional,"How would you handle a Django problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include queryset, orm, serializer, celery, middleware. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",71,5,100,83,100,74,pass
978,Machine Learning,mid_level_expert,"How would you handle a Machine Learning problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include drift, metrics, overfitting, feature engineering, cross validation. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",67,5,100,84,74,84,pass
979,Django,senior_professional,"How would you handle a Django problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include rest api, celery, authentication, caching. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would validate this with tests.",47,4,79,55,45,59,fail
980,Networking,mid_level_expert,"How would you handle a Networking problem during a production incident? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. I would keep the implementation simple where possible.,22,2,29,37,43,35,fail
981,Artificial Intelligence,junior_professional,"How would you handle a Artificial Intelligence problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include guardrails, evaluation, latency. ",23,3,74,55,47,37,fail
982,Operating Systems,mid_level_expert,"How would you handle a Operating Systems problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include scheduling, memory management, filesystem, process. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would communicate the risk clearly.",54,4,69,68,86,75,pass
983,Machine Learning,junior_professional,"How would you handle a Machine Learning problem during a production incident? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. ,21,2,30,47,54,53,fail
984,Networking,industry_veteran,"How would you handle a Networking problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include firewall, tcp, dns, routing, packet loss. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",72,5,96,95,86,94,pass
985,Machine Learning,fresher,"How would you handle a Machine Learning problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include validation, metrics, feature engineering. ",24,3,76,44,56,42,fail
986,React,industry_veteran,"How would you handle a React problem for a university career platform? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include hooks, state, props, component, rendering. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",64,5,89,100,76,65,fail
987,MERN Stack,industry_veteran,"How would you handle a MERN Stack problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include mongo, node, express, state management. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",55,4,70,87,82,82,pass
988,Software Engineering,industry_veteran,"How would you handle a Software Engineering problem for a university career platform? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include scalability, architecture, debugging, requirements. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. ",37,4,66,53,76,58,fail
989,DSA,mid_level_expert,"How would you handle a DSA problem for a reporting dashboard? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. I would keep the implementation simple where possible.,30,2,62,43,27,35,fail
990,Networking,industry_veteran,"How would you handle a Networking problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include routing, tcp, firewall. I would keep the implementation simple where possible.",31,3,55,53,72,61,fail
991,DSA,industry_veteran,"How would you handle a DSA problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include hash map, bfs, graphs, dfs, heap. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",61,5,80,100,89,95,pass
992,Operating Systems,junior_professional,"How would you handle a Operating Systems problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include thread, scheduling, deadlock. I would communicate the risk clearly.",26,3,45,57,57,32,fail
993,Operating Systems,junior_professional,"How would you handle a Operating Systems problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include filesystem, deadlock, mutex, memory management. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. ",50,4,100,94,72,68,fail
994,DevOps,fresher,"How would you handle a DevOps problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include docker, terraform, alerts, kubernetes, blue green deployment. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",70,5,92,89,92,83,pass
995,Django,fresher,"How would you handle a Django problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include celery, middleware, rest api, queryset. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",56,4,86,98,88,69,fail
996,MERN Stack,fresher,"How would you handle a MERN Stack problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include express, react, state management, mongo, node. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. ",66,5,100,100,100,78,pass
997,React,fresher,"How would you handle a React problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include accessibility, memoization, state. I would validate this with tests.",26,3,51,21,56,33,fail
998,DevOps,junior_professional,"How would you handle a DevOps problem during a production incident? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include kubernetes, rollback, monitoring, alerts, ci/cd. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",65,5,100,88,74,76,pass
999,Machine Learning,junior_professional,"How would you handle a Machine Learning problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include drift, feature engineering, overfitting, bias, metrics. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. ",63,5,61,95,56,69,fail
1000,Artificial Intelligence,senior_professional,"How would you handle a Artificial Intelligence problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include hallucination, prompt engineering, guardrails. I would validate this with tests.",26,3,21,41,69,50,fail
1001,Django,fresher,"How would you handle a Django problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include middleware, authentication, caching. ",18,3,43,53,54,47,fail
1002,Machine Learning,industry_veteran,"How would you handle a Machine Learning problem in a mobile app backend? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include drift, metrics, bias. I would keep the implementation simple where possible.",28,3,35,59,13,34,fail
1003,React,senior_professional,"How would you handle a React problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would try a simple solution first and ask for help if it fails. Relevant concepts include rendering, context, props. ",27,3,39,53,45,35,fail
1004,Operating Systems,industry_veteran,"How would you handle a Operating Systems problem during a production incident? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include paging, mutex, filesystem, process. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would keep the implementation simple where possible.",45,4,60,74,70,63,fail
1005,Operating Systems,senior_professional,"How would you handle a Operating Systems problem during a production incident? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include paging, thread, deadlock, filesystem. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. ",33,4,68,82,66,69,fail
1006,React,industry_veteran,"How would you handle a React problem for a high traffic web app? Explain constraints, trade-offs, and validation.",I know the basic idea but I am not fully sure about the trade-offs. ,17,2,66,21,14,42,fail
1007,Django,senior_professional,"How would you handle a Django problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include serializer, middleware, celery, rest api. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. ",41,4,65,69,62,63,fail
1008,DSA,junior_professional,"How would you handle a DSA problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include complexity, heap, dynamic programming, hash map. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would communicate the risk clearly.",42,4,88,79,80,61,fail
1009,DBMS,senior_professional,"How would you handle a DBMS problem in a mobile app backend? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. I would keep the implementation simple where possible.",27,2,30,7,33,37,fail
1010,DSA,senior_professional,"How would you handle a DSA problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include complexity, dynamic programming, hash map, dfs. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would communicate the risk clearly.",43,4,81,72,74,67,fail
1011,OOP,senior_professional,"How would you handle a OOP problem for a university career platform? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include solid, polymorphism, abstraction, design pattern. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would validate this with tests.",52,4,83,90,58,76,pass
1012,Software Engineering,industry_veteran,"How would you handle a Software Engineering problem for a university career platform? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include debugging, maintainability, testing, scalability, code review. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",69,5,94,77,92,100,pass
1013,React,fresher,"How would you handle a React problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include props, component, rendering, context. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would communicate the risk clearly.",52,4,71,77,61,63,fail
1014,OOP,mid_level_expert,"How would you handle a OOP problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include polymorphism, solid, inheritance, composition, interface. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",62,5,100,97,80,88,pass
1015,Networking,senior_professional,"How would you handle a Networking problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include packet loss, tcp, throughput. I would communicate the risk clearly.",29,3,78,66,73,65,fail
1016,Networking,senior_professional,"How would you handle a Networking problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include tls, packet loss, firewall, throughput. I would validate this with tests.",30,4,73,68,51,66,fail
1017,DBMS,fresher,"How would you handle a DBMS problem during a production incident? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include schema design, normalization, indexing. ",24,3,42,46,57,45,fail
1018,DevOps,industry_veteran,"How would you handle a DevOps problem for a university career platform? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include ci/cd, alerts, monitoring. I would validate this with tests.",32,3,38,66,60,49,fail
1019,Software Engineering,junior_professional,"How would you handle a Software Engineering problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include scalability, requirements, testing, trade-offs. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would validate this with tests.",49,4,60,76,72,66,fail
1020,Operating Systems,industry_veteran,"How would you handle a Operating Systems problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include scheduling, process, mutex. I would validate this with tests.",34,3,44,22,43,39,fail
1021,OOP,industry_veteran,"How would you handle a OOP problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include design pattern, solid, inheritance, polymorphism, interface. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",64,5,95,78,100,72,pass
1022,MERN Stack,industry_veteran,"How would you handle a MERN Stack problem in a mobile app backend? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include node, routing, react. I would communicate the risk clearly.",28,3,69,50,65,60,fail
1023,Networking,junior_professional,"How would you handle a Networking problem in a mobile app backend? Explain constraints, trade-offs, and validation.","My answer may miss some edge cases, but I can improve with practice. Relevant concepts include latency, firewall, throughput. I would communicate the risk clearly.",33,3,63,44,34,56,fail
1024,Software Engineering,junior_professional,"How would you handle a Software Engineering problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include debugging, code review, requirements, maintainability, scalability. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. ",62,5,91,95,100,78,pass
1025,Networking,industry_veteran,"How would you handle a Networking problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include packet loss, routing, tcp, tls. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would keep the implementation simple where possible.",54,4,81,66,72,73,pass
1026,Machine Learning,industry_veteran,"How would you handle a Machine Learning problem during a payment workflow? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. ,11,2,11,18,48,39,fail
1027,DSA,junior_professional,"How would you handle a DSA problem for a university career platform? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include complexity, graphs, dfs, bfs. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would communicate the risk clearly.",48,4,74,78,71,80,pass
1028,DevOps,junior_professional,"How would you handle a DevOps problem for a university career platform? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include monitoring, terraform, ci/cd. ",24,3,58,63,77,52,fail
1029,OOP,industry_veteran,"How would you handle a OOP problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would compare alternatives and select the one that fits reliability and maintainability. Relevant concepts include composition, interface, abstraction, design pattern. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would keep the implementation simple where possible.",51,4,84,46,88,69,fail
1030,DSA,senior_professional,"How would you handle a DSA problem for a university career platform? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include dfs, bfs, complexity. I would communicate the risk clearly.",30,3,42,21,39,29,fail
1031,Software Engineering,fresher,"How would you handle a Software Engineering problem inside an interview coaching system? Explain constraints, trade-offs, and validation.",I would try a simple solution first and ask for help if it fails. ,17,2,35,40,56,38,fail
1032,MERN Stack,industry_veteran,"How would you handle a MERN Stack problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include react, state management, express, api integration, mongo. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",67,5,91,73,75,96,pass
1033,React,mid_level_expert,"How would you handle a React problem for a high traffic web app? Explain constraints, trade-offs, and validation.","I would break the problem into smaller parts, validate assumptions, and test the result. Relevant concepts include context, state, component, memoization. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would keep the implementation simple where possible.",47,4,64,95,70,72,pass
1034,MERN Stack,mid_level_expert,"How would you handle a MERN Stack problem during a payment workflow? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include jwt, state management, express, api integration. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would communicate the risk clearly.",50,4,81,85,67,69,fail
1035,Networking,senior_professional,"How would you handle a Networking problem for a university career platform? Explain constraints, trade-offs, and validation.","I would clarify constraints, choose a practical approach, and explain the main trade-offs. Relevant concepts include dns, tcp, packet loss. ",24,3,59,64,72,62,fail
1036,OOP,junior_professional,"How would you handle a OOP problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I know the basic idea but I am not fully sure about the trade-offs. Relevant concepts include abstraction, composition, solid. I would validate this with tests.",30,3,59,73,57,59,fail
1037,MERN Stack,fresher,"How would you handle a MERN Stack problem inside an interview coaching system? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include jwt, node, api integration, express, state management. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would communicate the risk clearly.",69,5,74,58,98,71,pass
1038,Artificial Intelligence,senior_professional,"How would you handle a Artificial Intelligence problem for a university career platform? Explain constraints, trade-offs, and validation.","I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. Relevant concepts include retrieval, guardrails, prompt engineering, hallucination, reasoning. I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. I would also document assumptions, review the implementation with the team, and measure real user impact. I would keep the implementation simple where possible.",70,5,92,100,97,100,pass
1039,DSA,fresher,"How would you handle a DSA problem for a reporting dashboard? Explain constraints, trade-offs, and validation.","I would first clarify requirements and non-functional constraints, then design the solution with observability and failure handling. Relevant concepts include dynamic programming, binary search, hash map, graphs, heap. I would discuss complexity, edge cases, scalability, testing strategy, and operational risks before implementation. I would also document assumptions, review the implementation with the team, and measure real user impact. I would validate this with tests.",67,5,89,78,100,78,pass
1040,Networking,mid_level_expert,"How would you handle a Networking problem in a logistics dashboard? Explain constraints, trade-offs, and validation.","I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. Relevant concepts include packet loss, tcp, firewall, latency. I would justify the chosen approach, mention trade-offs, and explain how I would monitor the outcome in production. I would validate this with tests.",51,4,85,73,70,72,pass
